TITLE,COMPANY,LOCATION,LINK
Online Fashion Stylist Assistant,Lucy in the Sky,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=f59d4bce8fc9d5ca
Office Assistant,Confidential Beauty/Fashion Company,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=275d849a3a11bf95
Sales Associate/Stylist,Windsor Fashions Inc.,"Montebello, CA",https://www.indeed.com/viewjob?jk=46cad435bf6af797
Fashion Design Internship,FRNMY,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=c484abe48e0026f5
Fashion Data Entry for Website Updates,Eye Candy LA,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=8db06d477e71bff7
Marketing Assistant to Fashion Company,FinSwim LA,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=d2f1fc6af25f1891
"Beauty Merchandiser, Full Time: Del Amo Fashion Center",Macy's,"Torrance, CA",https://www.indeed.com/viewjob?jk=2556bfaae7cafc2d
Women's Wholesale Fashion - Office Assistant,White Birch,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=aaf155155cd11a67
Pre Production Coordinator,Dear John Denim,"Arcadia, CA",https://www.indeed.com/viewjob?jk=071d6e88a62d8294
Visual Merchandiser,The Webster,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=678e2a70d0ab35e7
Full Time Videographer and Video Editor in Beauty and Fashion Space,Beauty Industry,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=7fcb9c87894ab118
Receptionist,Windsor Fashions Inc.,"Santa Fe Springs, CA",https://www.indeed.com/viewjob?jk=b579e316e37c8af6
Production Assistant,Impulse Fashion Inc,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=82203c6d84894228
Fabric R&D Admin Assistant,REVOLVE,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=c66054b7b632fe6a
Seasonal Sales Associate / Fashion Stylist,GOOGY,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=a21a6a934d407ece
Senior Customer Care Advocate,Fashion Nova - Careers,"Santa Fe Springs, CA",https://www.indeed.com/viewjob?jk=5b2b33fef4fd0f40
Seasonal Sales - Women's Apparel,Nordstrom,"Glendale, CA",https://www.indeed.com/viewjob?jk=2e78243e27bd963f
Assistant E-commerce Stylist,REVOLVE,"Cerritos, CA",https://www.indeed.com/viewjob?jk=336a408002e69d63
Product Data Admin,REVOLVE,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=b441199ebaa55f4e
Experienced Fashion Sales Account Manager,BLUE BLUSH CLOTHING,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=f7a526cfe1b3d8de
Assistant Buyer - Savage X Fenty,TechStyle Fashion Group,"El Segundo, CA",https://www.indeed.com/viewjob?jk=3c772c9c1eddc572
FWRD Assistant E-commerce Stylist,REVOLVE,"Cerritos, CA",https://www.indeed.com/viewjob?jk=510c87af8c2ff671
Fashion Designer,2.7 August Apparel Inc.,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=73448fb6f8fa46f5
Fashion PR Intern,CLD PR,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=9ca2c0adb3f657db
Buying Assistant,REVOLVE,"Cerritos, CA",https://www.indeed.com/viewjob?jk=e4c320ab18eef324
Trend Manager,rue21,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=09b7ce65674e8c6b
Buying Assistant,Tobi.com,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=9c224a79f71f1d0c
Wholesale Apparel Order Processing and Customer Service,Honeyme,"Vernon, CA",https://www.indeed.com/viewjob?jk=3328efbee78da6ec
Assistant Product Developer,REVOLVE,"Los Angeles, CA",https://www.indeed.com/viewjob?jk=a570772e1794639e
